,secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,Close,moneyness
779107,108105,2020-12-14,30,80,0.340665,3370.845,313.9642,0.099873,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-7.5845304846634765
779108,108105,2020-12-14,30,85,0.40395,3251.422,426.2509,0.166651,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-10.858645021502166
779109,108105,2020-12-14,30,90,0.488418,3072.2259999999997,596.4564,0.241067,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-15.77150291774785
779110,108105,2020-12-14,60,-90,0.133462,3909.304,278.5527,0.012990999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,7.177922639036538
779111,108105,2020-12-14,60,-85,0.140595,3869.321,245.1479,0.012270999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,6.081744168168934
779112,108105,2020-12-14,60,-80,0.147862,3836.403,220.1756,0.01171,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,5.179260540026487
779113,108105,2020-12-14,60,-75,0.155223,3806.292,199.4812,0.011397,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.353733942815308
779114,108105,2020-12-14,60,-70,0.162697,3777.094,181.3168,0.011379,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.553238257339175
779115,108105,2020-12-14,60,-65,0.17041900000000001,3747.803,164.8947,0.011677,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.7501928732963865
779116,108105,2020-12-14,60,-60,0.178538,3717.6659999999997,149.7598,0.01222,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.9239534571311
779117,108105,2020-12-14,60,-55,0.187156,3685.972,135.5677,0.012977,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.0550271520594956
779118,108105,2020-12-14,60,-50,0.19639500000000001,3652.0040000000004,122.0821,0.013986000000000002,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.12375660461607652
779119,108105,2020-12-14,60,-45,0.206429,3614.9559999999997,109.1457,0.015297999999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.8919555727769035
779120,108105,2020-12-14,60,-40,0.21747399999999997,3573.815,96.63105,0.016958,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.019881903216436
779121,108105,2020-12-14,60,-35,0.22976799999999997,3527.257,84.41405999999999,0.019037000000000002,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-3.296321321135387
779122,108105,2020-12-14,60,-30,0.24356599999999998,3473.491,72.36655,0.021763,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-4.770376086027161
779123,108105,2020-12-14,60,-25,0.259257,3409.9240000000004,60.39115,0.026007,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-6.513136180508328
779124,108105,2020-12-14,60,-20,0.277913,3332.005,48.494209999999995,0.033705,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-8.649372337663442
779125,108105,2020-12-14,60,-15,0.30139,3231.258,36.64042,0.045742000000000005,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-11.411463536535427
779126,108105,2020-12-14,60,-10,0.330036,3094.156,24.471610000000002,0.059337,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-15.17026754606171
779127,108105,2020-12-14,60,10,0.16397799999999998,3971.6409999999996,11.176839999999999,0.008246,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,8.88696091376513
779128,108105,2020-12-14,60,15,0.166938,3912.565,18.62641,0.007225,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,7.2673265855512925
779129,108105,2020-12-14,60,20,0.171498,3867.76,27.423579999999998,0.007953,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,6.0389476148081656
779130,108105,2020-12-14,60,25,0.177086,3829.467,37.72829,0.008964,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.98910237595831
779131,108105,2020-12-14,60,30,0.183507,3794.248,49.75183,0.009987000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.023534270376294
779132,108105,2020-12-14,60,35,0.19076700000000002,3760.2070000000003,63.78256,0.011078,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.090262346638606
779133,108105,2020-12-14,60,40,0.198927,3726.0190000000002,80.19065,0.012297,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.152960254198777
779134,108105,2020-12-14,60,45,0.20806100000000002,3690.5759999999996,99.43951,0.013699000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.1812509391658566
779135,108105,2020-12-14,60,50,0.218284,3652.8340000000003,122.1273,0.015371000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.14651197892066037
779136,108105,2020-12-14,60,55,0.229802,3611.683,149.0656,0.017434,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-0.9816885126550878
779137,108105,2020-12-14,60,60,0.242923,3565.7740000000003,181.3821,0.020061000000000002,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.2403348728346706
779138,108105,2020-12-14,60,65,0.258069,3513.3320000000003,220.6695,0.0236,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-3.6780907032935906
779139,108105,2020-12-14,60,70,0.275875,3451.833,269.2933,0.029258999999999997,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-5.364154274808652
779140,108105,2020-12-14,60,75,0.297898,3376.993,331.5319,0.041104,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-7.415976218127851
779141,108105,2020-12-14,60,80,0.32800999999999997,3279.9829999999997,416.3672,0.06566799999999999,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-10.075613400401974
779142,108105,2020-12-14,60,85,0.371157,3145.1459999999997,539.0538,0.10491900000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-13.772319912579011
779143,108105,2020-12-14,60,90,0.42736499999999994,2952.3720000000003,718.2668,0.1532,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-19.057433799556744
779144,108105,2020-12-14,91,-90,0.13844700000000001,3987.107,362.5636,0.011583,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,9.310978527011727
779145,108105,2020-12-14,91,-85,0.14487,3932.6859999999997,316.3353,0.011008,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,7.818966207698863
779146,108105,2020-12-14,91,-80,0.151528,3888.7740000000003,282.2409,0.010784,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,6.615069826418396
779147,108105,2020-12-14,91,-75,0.158582,3849.664,254.7541,0.010917,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,5.542825622741021
779148,108105,2020-12-14,91,-70,0.166099,3812.552,231.3094,0.01126,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,4.525358814076386
779149,108105,2020-12-14,91,-65,0.174054,3775.6679999999997,210.4086,0.011762,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.5141428793170837
779150,108105,2020-12-14,91,-60,0.182479,3737.836,191.2202,0.012464,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.4769364688460582
779151,108105,2020-12-14,91,-55,0.191491,3698.1240000000003,173.2826,0.013384,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.3881877647694774
779152,108105,2020-12-14,91,-50,0.201223,3655.603,156.2741,0.014525,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.22242719753438056
779153,108105,2020-12-14,91,-45,0.211825,3609.2309999999998,139.944,0.015921,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.04891282325128
779154,108105,2020-12-14,91,-40,0.22348,3557.756,124.0968,0.017636000000000002,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.460157271839669
779155,108105,2020-12-14,91,-35,0.23644,3499.5640000000003,108.5786,0.019818000000000002,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-4.055555755613449
779156,108105,2020-12-14,91,-30,0.251092,3432.401,93.27575999999999,0.02283,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-5.896904194672081
779157,108105,2020-12-14,91,-25,0.268074,3352.8540000000003,78.10502,0.027464999999999996,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-8.077773784800502
779158,108105,2020-12-14,91,-20,0.28832800000000003,3255.4320000000002,62.95785,0.034761,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-10.748706405886054
779159,108105,2020-12-14,91,-15,0.312526,3131.6459999999997,47.55748,0.044564,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-14.14243744644873
779160,108105,2020-12-14,91,-10,0.33964,2968.7729999999997,31.51254,0.05480499999999999,P,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-18.607782120075488
779161,108105,2020-12-14,91,10,0.166229,4056.743,13.86394,0.006853,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,11.220127015052551
779162,108105,2020-12-14,91,15,0.16886500000000002,3980.804,23.04314,0.00632,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,9.138174762865003
779163,108105,2020-12-14,91,20,0.17281400000000002,3923.006,33.78138,0.007265000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,7.553578227857494
779164,108105,2020-12-14,91,25,0.177867,3874.159,46.30234,0.008581,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,6.214383325862394
779165,108105,2020-12-14,91,30,0.184087,3830.03,60.94555,0.009972,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,5.004537647926366
779166,108105,2020-12-14,91,35,0.19146,3787.8990000000003,78.1123,0.011317,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,3.8494693650030554
779167,108105,2020-12-14,91,40,0.199876,3745.7490000000003,98.23438,0.012669,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,2.6938801759209596
779168,108105,2020-12-14,91,45,0.20931599999999997,3702.078,121.8508,0.014155000000000001,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,1.4965910780228686
779169,108105,2020-12-14,91,50,0.21988000000000002,3655.583,149.6807,0.015864,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,0.2218788752619716
779170,108105,2020-12-14,91,55,0.23173600000000003,3604.908,182.6742,0.017886000000000003,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-1.167432682430447
779171,108105,2020-12-14,91,60,0.245139,3548.458,222.127,0.020409,C,64881510,SPX,9999,1,32768,,A,,3647.489990234375,-2.7150722962782314
